Dates,IVV US Equity,IVV AU Equity,ECRPUS 1Y Index,SPXSFRCS Index,FDTRFTRL Index,USCRWTIC Index,XAU Curncy,JPYUSD Curncy,DXY Curncy,VIX Index
4/27/2020,288.19,444.28,100,2960,0,12.78,1713.99,0.009325,100.041,33.29
4/28/2020,286.64,445.85,100,2960,0,12.34,1707.79,0.009357,99.865,33.57
4/29/2020,294.13,444.08,100,2960,0,15.06,1713.41,0.009374,99.565,31.23
4/30/2020,291.16,451.86,100,2960,0,18.84,1686.5,0.009329,99.016,34.15
5/1/2020,283.53,443.84,100,2960,0,19.78,1700.42,0.009354,99.079,37.19
5/4/2020,284.63,441.07,100,2960,0,20.39,1702.07,0.00937,99.484,35.97
5/5/2020,287.14,441.96,100,2960,0,24.56,1705.92,0.009382,99.709,33.61
5/6/2020,285.25,447.38,100,2960,0,23.99,1685.71,0.009423,100.091,34.12
5/7/2020,288.63,445.12,100,2960,0,23.55,1716.06,0.009409,99.889,31.44
5/8/2020,293.46,448.63,100,2960,0,24.48,1702.7,0.009378,99.734,27.98
5/11/2020,293.45,449.99,100,2960,0,24.14,1697.93,0.009288,100.236,27.57
5/12/2020,287.47,450.71,100,2960,0,25.78,1702.7,0.009333,99.933,33.04
5/13/2020,282.54,443.41,100,2960,0,25.29,1716.28,0.009343,100.242,35.28
5/14/2020,285.92,437.12,100,2960,0,27.56,1730.3,0.009324,100.466,32.61
5/15/2020,287.16,441.85,100,2960,0,29.43,1743.67,0.00934,100.402,31.89
5/18/2020,296.04,449.39,100,2933,0,31.82,1732.55,0.009318,99.665,29.3
5/19/2020,292.99,453.93,100,2933,0,32.5,1745.05,0.009285,99.371,30.53
5/20/2020,297.99,449.42,100,2933,0,33.79,1748.18,0.0093,99.124,27.99
5/21/2020,295.81,452,100,2933,0,34.17,1727,0.009293,99.37,29.53
5/22/2020,296.41,447.75,100,2933,0,33.55,1734.68,0.009291,99.863,28.16
5/25/2020,296.41,455.98,100,2933,0,33.55,1731.95,0.009284,99.863,28.16
5/26/2020,300.17,459.88,100,2933,0,34.35,1710.58,0.009299,98.908,28.01
5/27/2020,304.55,455.55,100,2933,0,32.81,1709.47,0.009283,99.062,27.62
5/28/2020,303.95,462.75,100,2933,0,33.71,1718.33,0.00929,98.383,28.59
5/29/2020,305.18,457.09,100,2933,0,35.49,1730.27,0.009275,98.344,27.51
6/1/2020,306.68,453.01,100,2933,0,35.44,1739.55,0.009295,97.83,28.23
6/2/2020,309.23,450.26,100,2933,0,36.81,1727.7,0.009201,97.673,26.84
6/3/2020,313.39,447.36,100,2933,0,37.29,1699.67,0.009182,97.276,25.66
6/4/2020,312.34,452.18,100,2933,0,37.41,1714.01,0.009162,96.677,25.81
6/5/2020,320.48,450.19,100,2933,0,39.55,1685.06,0.009125,96.937,24.52
6/8/2020,324.4,450.19,100,2933,0,38.19,1698.53,0.009223,96.618,25.81
6/9/2020,322.01,463.3,100,2933,0,38.94,1715.33,0.00928,96.324,27.57
6/10/2020,320.11,462.37,100,2933,0,39.6,1738.7,0.009335,95.959,27.57
6/11/2020,301.59,455.57,100,2933,0,36.34,1727.7,0.009357,96.733,40.79
6/12/2020,305.36,446.19,100,2933,0,36.26,1730.75,0.009313,97.319,36.09
6/15/2020,306.89,435.45,100,2933,0,37.12,1725.16,0.009317,96.706,34.4
6/16/2020,312.79,449.62,100,2933,0,38.38,1726.53,0.009318,96.958,33.67
6/17/2020,311.38,455.64,100,2999,0,37.96,1726.95,0.009345,97.158,33.47
6/18/2020,311.62,452.86,100,2999,0,38.84,1722.93,0.009349,97.421,32.94
6/19/2020,309.72,455.89,100,2999,0,39.75,1743.87,0.009356,97.623,35.12
6/22/2020,311.94,450.55,100,2999,0,40.46,1754.43,0.009354,97.039,31.77
6/23/2020,313.21,453.5,100,2999,0,40.27,1768.41,0.009387,96.646,31.37
6/24/2020,305.3,453.03,100,2999,0,37.91,1761.17,0.009342,97.148,33.84
6/25/2020,308.5,445,100,2999,0,38.67,1763.79,0.009329,97.429,32.22
6/26/2020,301.14,448.96,100,2999,0,38.49,1771.29,0.009327,97.433,34.73
6/29/2020,305.66,439.96,100,2999,0,39.7,1772.82,0.009296,97.536,31.78
6/30/2020,309.69,446.37,100,2999,0,39.27,1780.96,0.009265,97.391,30.43
7/1/2020,311.81,447.69,100,2999,0,39.82,1770.09,0.009305,97.196,28.62
7/2/2020,313.45,450.78,100,2999,0,40.65,1775.38,0.009302,97.317,27.68
7/3/2020,313.45,453.18,100,2999,0,40.65,1775.95,0.009302,97.172,27.68
7/6/2020,318.26,455.05,100,2999,0,40.63,1784.68,0.009311,96.725,27.94
7/7/2020,314.98,455.59,100,2999,0,40.62,1794.86,0.009301,96.881,29.43
7/8/2020,317.33,452.9,100,2999,0,40.9,1808.89,0.009323,96.428,28.08
7/9/2020,315.72,454.08,100,2999,0,39.62,1803.55,0.009328,96.7,29.26
7/10/2020,318.9,451.79,100,2999,0,40.55,1798.7,0.009353,96.652,27.29
7/13/2020,316.07,460.2,100,2999,0,40.1,1802.76,0.00932,96.464,32.19
7/14/2020,320.17,455.55,100,2999,0,40.29,1809.36,0.009325,96.259,29.52
7/15/2020,323.16,460.05,100,2999,0,41.2,1810.29,0.009352,96.081,27.76
7/16/2020,322.04,459.95,100,2999,0,40.75,1797.16,0.009322,96.346,28
7/17/2020,322.99,460,100,3108,0,40.59,1810.42,0.009343,95.942,25.68
7/20/2020,325.66,459.83,100,3108,0,40.81,1817.77,0.009322,95.832,24.46
7/21/2020,326.25,465.29,100,3108,0,41.96,1841.91,0.009363,95.117,24.84
7/22/2020,328.17,456.87,100,3108,0,41.85,1871.41,0.009332,94.988,24.32
7/23/2020,324.2,459.1,100,3108,0,41.02,1887.44,0.009358,94.692,26.08
7/24/2020,322.13,455.11,100,3108,0,41.14,1902.02,0.009422,94.435,25.84
7/27/2020,324.5,452.48,100,3108,0,41.6,1942.24,0.00949,93.668,24.74
7/28/2020,322.5,454.54,100,3108,0,41.04,1958.43,0.009516,93.696,25.44
7/29/2020,326.38,449.36,100,3108,0,41.27,1970.79,0.009531,93.453,24.1
7/30/2020,325.26,455,100,3108,0,39.92,1956.64,0.009548,93.021,24.76
7/31/2020,327.82,452.1,100,3108,0,40.27,1975.86,0.009447,93.349,24.46
8/3/2020,330.11,458.58,100,3108,0,41.01,1976.98,0.009438,93.542,24.28
8/4/2020,331.3,462.99,100,3108,0,41.7,2019.21,0.009459,93.382,23.76
8/5/2020,333.45,461.88,100,3108,0,42.19,2038.12,0.00947,92.868,22.99
8/6/2020,335.71,462.2,100,3108,0,41.95,2063.54,0.009474,92.788,22.65
8/7/2020,335.95,464.25,100,3108,0,41.22,2035.55,0.00944,93.435,22.21
8/10/2020,336.96,469.45,100,3108,0,41.94,2027.34,0.009437,93.582,22.13
8/11/2020,334.14,470.91,100,3108,0,41.61,1911.89,0.00939,93.628,24.03
8/12/2020,338.8,471.27,100,3108,0,42.67,1915.83,0.009355,93.443,22.28
8/13/2020,338.22,471.38,100,3108,0,42.24,1953.71,0.009352,93.335,22.13
8/14/2020,338.19,473.68,100,3108,0,42.01,1945.12,0.009381,93.096,22.05
8/17/2020,339.28,471.08,100,3108,0,42.89,1985.3,0.009434,92.851,21.35
8/18/2020,340,469.72,100,3198,0,42.89,2002.44,0.009487,92.271,21.51
8/19/2020,338.62,469.58,100,3198,0,42.93,1928.98,0.009423,92.887,22.54
8/20/2020,339.66,469.25,100,3198,0,42.58,1947.26,0.009452,92.793,22.72
8/21/2020,340.85,472.17,100,3198,0,42.19,1940.48,0.009451,93.247,22.54
8/24/2020,344.35,476.19,100,3198,0,42.47,1928.88,0.009436,93.298,22.37
8/25/2020,345.49,481.94,100,3198,0,43.15,1928.18,0.009399,93.019,22.03
8/26/2020,349,480.09,100,3198,0,43.39,1954.46,0.009435,93.006,23.27
8/27/2020,349.76,481.97,100,3198,0,43.04,1929.54,0.009384,93.001,24.47
8/28/2020,352,481.88,100,3198,0,42.97,1964.83,0.009491,92.371,22.96
8/31/2020,350.77,480.26,100,3198,0,42.61,1967.8,0.009442,92.144,26.41
9/1/2020,354.06,475.02,100,3198,0,42.76,1970.18,0.009438,92.338,26.12
9/2/2020,359.24,483.09,100,3198,0,41.51,1942.92,0.009417,92.847,26.57
9/3/2020,346.82,490.54,100,3198,0,41.37,1930.91,0.009417,92.739,33.6
9/4/2020,343.98,476.21,100,3198,0,39.77,1933.94,0.009413,92.719,30.75
9/7/2020,343.98,469.21,100,3198,0,39.77,1933.64,0.00941,92.719,30.75
9/8/2020,334.63,473.24,100,3198,0,36.76,1932.03,0.009431,93.445,31.46
9/9/2020,341.18,464.47,100,3198,0,38.05,1946.84,0.009418,93.255,28.81
9/10/2020,335.22,469.73,100,3198,0,37.3,1946.09,0.009422,93.336,29.71
9/11/2020,335.38,463.88,60,3198,0,37.33,1940.55,0.009419,93.333,26.87
9/14/2020,339.84,465.6,50,3198,0,37.26,1956.86,0.009458,93.052,25.85
9/15/2020,341.57,465.11,50,3198,0,38.28,1954.15,0.009484,93.05,25.59
9/16/2020,340.21,467.86,50,3286,0,40.16,1959.26,0.009529,93.214,26.04
9/17/2020,337.29,461.53,50,3286,0,40.97,1944.44,0.009547,92.97,26.46
9/18/2020,333.34,460.86,50,3286,0,41.11,1950.86,0.009563,92.926,25.83
9/21/2020,329.63,454.44,50,3286,0,39.31,1912.51,0.009556,93.656,27.78
9/22/2020,332.97,456.44,50,3286,0,39.6,1900.21,0.00953,93.988,26.86
9/23/2020,323.75,467.52,50,3286,0,39.73,1863.34,0.009491,94.389,28.58
9/24/2020,324.6,461.1,50,3286,0,40.16,1868.07,0.009487,94.354,28.51
9/25/2020,329.88,463.5,50,3286,0,40.1,1861.58,0.009472,94.642,26.38
9/28/2020,335.36,473.32,50,3286,0,40.6,1881.48,0.009479,94.278,26.19
9/29/2020,333.51,477,50,3286,0,39.29,1898.07,0.009465,93.891,26.27
9/30/2020,336.06,466.97,50,3286,0,40.22,1885.82,0.009483,93.886,26.37
10/1/2020,338.24,470.54,50,3286,0,38.72,1906.01,0.009475,93.711,26.7
10/2/2020,335.05,465.23,50,3286,0,37.05,1899.84,0.009497,93.844,27.63
10/5/2020,340.9,469.32,50,3286,0,39.22,1913.53,0.009457,93.513,27.96
10/6/2020,336.06,473.7,50,3286,0,40.67,1878.18,0.009467,93.686,29.48
10/7/2020,341.9,473.69,50,3286,0,39.95,1887.42,0.009436,93.63,28.06
10/8/2020,344.98,480.49,50,3286,0,41.19,1893.82,0.009431,93.605,26.36
10/9/2020,348.01,482.99,35,3286,0,40.6,1930.4,0.009469,93.057,25
10/12/2020,353.69,483.03,30,3286,0,39.43,1922.77,0.009494,93.065,25.07
10/13/2020,351.39,491.31,30,3286,0,40.2,1891.36,0.009481,93.531,26.07
10/14/2020,349.19,491.92,30,3286,0,41.04,1901.52,0.009509,93.382,26.4
10/15/2020,348.76,491.86,30,3286,0,40.96,1908.71,0.009484,93.856,26.97
10/16/2020,348.45,493.05,30,3348,0,40.88,1899.29,0.009488,93.682,27.41
10/19/2020,343.22,493.38,30,3348,0,40.83,1904.08,0.009485,93.427,29.18
10/20/2020,344.57,489.29,30,3348,0,41.46,1906.95,0.009478,93.067,29.35
10/21/2020,343.9,489.56,30,3348,0,39.83,1924.33,0.009562,92.611,28.65
10/22/2020,345.86,482.11,30,3348,0,40.47,1904.11,0.009535,92.951,28.11
10/23/2020,346.96,486.84,30,3348,0,39.67,1902.05,0.009548,92.768,27.55
10/26/2020,340.59,483.67,30,3348,0,38.56,1902.08,0.009539,93.045,32.46
10/27/2020,339.43,478.04,30,3348,0,39.57,1907.99,0.009577,92.94,33.35
10/28/2020,327.88,472.42,30,3348,0,37.39,1877.19,0.009586,93.405,40.28
10/29/2020,331.15,468.95,30,3348,0,36.17,1867.59,0.009559,93.955,37.59
10/30/2020,327.62,465.84,30,3348,0,35.79,1878.81,0.009555,94.038,38.02
11/2/2020,331.36,468.8,30,3348,0,36.81,1895.48,0.009546,94.129,37.13
11/3/2020,337.28,472.93,30,3348,0,37.66,1909.17,0.009569,93.553,35.55
11/4/2020,344.73,479.11,30,3348,0,39.15,1902.92,0.009568,93.407,29.57
11/5/2020,351.47,485.09,30,3348,0,38.79,1949.66,0.009661,92.525,27.58
11/6/2020,351.44,480.53,30,3348,0,37.14,1951.35,0.009675,92.229,24.86
11/9/2020,355.83,489.96,30,3348,0,40.29,1863.04,0.009489,92.725,25.75
11/10/2020,355.37,484.44,30,3348,0,41.36,1877.32,0.009499,92.749,24.8
11/11/2020,357.93,486.79,30,3348,0,41.45,1865.73,0.009485,93.043,23.45
11/12/2020,354.52,488.7,30,3348,0,41.12,1876.83,0.009512,92.963,25.35
11/13/2020,359.34,490.54,25,3348,0,40.13,1889.2,0.009559,92.755,23.1
11/16/2020,363.8,495.73,25,3348,0,41.34,1888.95,0.009563,92.642,22.45
11/17/2020,361.95,494.15,25,3420,0,41.43,1880.38,0.009599,92.416,22.71
11/18/2020,357.59,495.5,25,3420,0,41.82,1872.24,0.009634,92.316,23.84
11/19/2020,359.04,490.36,25,3420,0,41.74,1866.54,0.009638,92.294,23.11
11/20/2020,356.63,490.26,25,3420,0,42.15,1870.99,0.009628,92.392,23.7
11/23/2020,358.77,489.13,25,3420,0,42.88,1837.86,0.009565,92.505,22.66
11/24/2020,364.51,494.14,25,3420,0,44.71,1807.59,0.009575,92.226,21.64
11/25/2020,363.99,496.29,25,3420,0,45.51,1807.56,0.009573,91.994,21.25
11/26/2020,363.99,494.95,25,3420,0,45.51,1815.8,0.009591,91.994,21.25
11/27/2020,364.98,493.17,25,3420,0,45.51,1787.79,0.009608,91.79,20.84
11/30/2020,363.32,490.82,25,3420,0,45.34,1776.95,0.009586,91.869,20.57
12/1/2020,367.32,497.34,25,3420,0,44.55,1815.24,0.009586,91.313,20.77
12/2/2020,368.1,496.75,25,3420,0,45.28,1831.28,0.009578,91.118,21.17
12/3/2020,368.03,496.03,25,3420,0,45.64,1841.08,0.00963,90.714,21.28
